"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 12:23:09 GMT 2024","Wed May 22 12:23:10 GMT 2024","715","Authorization","","","","","Cannot login with invalid password",""
"passed","Wed May 22 12:23:11 GMT 2024","Wed May 22 12:23:11 GMT 2024","116","Authorization","","","","","Cannot login with empty username and password",""
"passed","Wed May 22 12:23:08 GMT 2024","Wed May 22 12:23:09 GMT 2024","681","Authorization","","","","","Cannot login with invalid username",""
"passed","Wed May 22 12:23:32 GMT 2024","Wed May 22 12:23:32 GMT 2024","103","User registration","","","","","Does not register with a blank password and username",""
"passed","Wed May 22 12:23:10 GMT 2024","Wed May 22 12:23:10 GMT 2024","720","Authorization","","","","","Cannot login with invalid username and password",""
"passed","Wed May 22 12:23:20 GMT 2024","Wed May 22 12:23:21 GMT 2024","124","Manage books","","","","","Check information of a book",""
"passed","Wed May 22 12:23:11 GMT 2024","Wed May 22 12:23:11 GMT 2024","118","Authorization","","","","","Cannot login with empty password",""
"failed","Wed May 22 12:23:21 GMT 2024","Wed May 22 12:23:21 GMT 2024","261","Manage books","","","","","Add and remove a book from the favorites list",""
"passed","Wed May 22 12:23:30 GMT 2024","Wed May 22 12:23:32 GMT 2024","1618","User registration","","","","","Must register a new user successfully",""
"passed","Wed May 22 12:23:08 GMT 2024","Wed May 22 12:23:08 GMT 2024","521","Authorization","","","","","Log in successfully",""
"passed","Wed May 22 12:23:33 GMT 2024","Wed May 22 12:23:33 GMT 2024","280","User registration","","","","","Does not create an account with the same data as an existing account",""
"passed","Wed May 22 12:23:32 GMT 2024","Wed May 22 12:23:32 GMT 2024","102","User registration","","","","","Do not register a user with a password that does not contain special characters",""
"passed","Wed May 22 12:23:21 GMT 2024","Wed May 22 12:23:21 GMT 2024","218","Manage books","","","","","Don't add a book that doesn't exist",""
"passed","Wed May 22 12:22:54 GMT 2024","Wed May 22 12:22:56 GMT 2024","2210","Finalize account","","","","","Deletes a user",""
"passed","Wed May 22 12:23:32 GMT 2024","Wed May 22 12:23:32 GMT 2024","102","User registration","","","","","Does not register with a blank username",""
"passed","Wed May 22 12:22:58 GMT 2024","Wed May 22 12:22:58 GMT 2024","726","Finalize account","","","","","Does not delete a user that does not exist",""
"passed","Wed May 22 12:23:10 GMT 2024","Wed May 22 12:23:11 GMT 2024","115","Authorization","","","","","Cannot login with empty username",""
"passed","Wed May 22 12:23:21 GMT 2024","Wed May 22 12:23:21 GMT 2024","222","Manage books","","","","","Do not add a book to the favorites list without authorization",""
"passed","Wed May 22 12:23:22 GMT 2024","Wed May 22 12:23:22 GMT 2024","123","Manage books","","","","","Didn't add a book to the favorites list with an incorrect user ID.",""
"passed","Wed May 22 12:22:56 GMT 2024","Wed May 22 12:22:57 GMT 2024","1383","Finalize account","","","","","Do not delete a user without authorization",""
