"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 23:23:28 GMT 2024","Wed Apr 17 23:23:28 GMT 2024","499","Authorization","","","","","Cannot login with invalid username and password",""
"failed","Wed Apr 17 23:23:18 GMT 2024","Wed Apr 17 23:23:19 GMT 2024","357","Finalize account","","","","","Do not delete a user without authorization",""
"failed","Wed Apr 17 23:23:36 GMT 2024","Wed Apr 17 23:23:36 GMT 2024","177","Manage books","When authenticated","","","","Add and remove a book from the favorites list",""
"passed","Wed Apr 17 23:23:36 GMT 2024","Wed Apr 17 23:23:36 GMT 2024","171","Manage books","","","","","Check information of a book",""
"broken","Wed Apr 17 23:23:44 GMT 2024","Wed Apr 17 23:23:44 GMT 2024","13","User registration","","","","","Does not register with a blank username",""
"passed","Wed Apr 17 23:23:28 GMT 2024","Wed Apr 17 23:23:28 GMT 2024","133","Authorization","","","","","Cannot login with empty username and password",""
"passed","Wed Apr 17 23:23:28 GMT 2024","Wed Apr 17 23:23:28 GMT 2024","136","Authorization","","","","","Cannot login with empty password",""
"failed","Wed Apr 17 23:23:27 GMT 2024","Wed Apr 17 23:23:27 GMT 2024","151","Authorization","","","","","Cannot login with invalid password",""
"passed","Wed Apr 17 23:23:37 GMT 2024","Wed Apr 17 23:23:37 GMT 2024","191","Manage books","When authenticated","","","","Do not add a book to the favorites list without authorization",""
"passed","Wed Apr 17 23:23:37 GMT 2024","Wed Apr 17 23:23:37 GMT 2024","141","Manage books","When authenticated","","","","Didn't add a book to the favorites list with an incorrect user ID.",""
"failed","Wed Apr 17 23:23:27 GMT 2024","Wed Apr 17 23:23:27 GMT 2024","134","Authorization","","","","","Cannot login with invalid username",""
"broken","Wed Apr 17 23:23:44 GMT 2024","Wed Apr 17 23:23:44 GMT 2024","14","User registration","","","","","Do not register a user with a password that does not contain special characters",""
"passed","Wed Apr 17 23:23:28 GMT 2024","Wed Apr 17 23:23:28 GMT 2024","144","Authorization","","","","","Cannot login with empty username",""
"failed","Wed Apr 17 23:23:44 GMT 2024","Wed Apr 17 23:23:44 GMT 2024","162","User registration","","","","","Must register a new user successfully",""
"failed","Wed Apr 17 23:23:27 GMT 2024","Wed Apr 17 23:23:27 GMT 2024","144","Authorization","","","","","Log in successfully",""
"failed","Wed Apr 17 23:23:44 GMT 2024","Wed Apr 17 23:23:45 GMT 2024","145","User registration","","","","","Does not create an account with the same data as an existing account",""
"passed","Wed Apr 17 23:23:19 GMT 2024","Wed Apr 17 23:23:19 GMT 2024","361","Finalize account","","","","","Does not delete a user that does not exist",""
"failed","Wed Apr 17 23:23:36 GMT 2024","Wed Apr 17 23:23:37 GMT 2024","187","Manage books","When authenticated","","","","Don't add a book that doesn't exist",""
"failed","Wed Apr 17 23:23:17 GMT 2024","Wed Apr 17 23:23:18 GMT 2024","684","Finalize account","","","","","Deletes a user",""
"broken","Wed Apr 17 23:23:44 GMT 2024","Wed Apr 17 23:23:44 GMT 2024","12","User registration","","","","","Does not register with a blank password and username",""
