"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 12:22:54 GMT 2024","Mon May 27 12:22:55 GMT 2024","1594","User registration","","","","","Must register a new user successfully",""
"passed","Mon May 27 12:22:46 GMT 2024","Mon May 27 12:22:46 GMT 2024","172","Manage books","","","","","Do not add a book to the favorites list without authorization",""
"passed","Mon May 27 12:22:46 GMT 2024","Mon May 27 12:22:46 GMT 2024","126","Manage books","","","","","Didn't add a book to the favorites list with an incorrect user ID.",""
"passed","Mon May 27 12:22:19 GMT 2024","Mon May 27 12:22:20 GMT 2024","1871","Finalize account","","","","","Deletes a user",""
"passed","Mon May 27 12:22:56 GMT 2024","Mon May 27 12:22:56 GMT 2024","123","User registration","","","","","Does not register with a blank username",""
"passed","Mon May 27 12:22:35 GMT 2024","Mon May 27 12:22:35 GMT 2024","504","Authorization","","","","","Cannot login with invalid username and password",""
"passed","Mon May 27 12:22:45 GMT 2024","Mon May 27 12:22:46 GMT 2024","774","Manage books","","","","","Add and remove a book from the favorites list",""
"passed","Mon May 27 12:22:35 GMT 2024","Mon May 27 12:22:35 GMT 2024","122","Authorization","","","","","Cannot login with empty password",""
"passed","Mon May 27 12:22:45 GMT 2024","Mon May 27 12:22:45 GMT 2024","142","Manage books","","","","","Check information of a book",""
"passed","Mon May 27 12:22:36 GMT 2024","Mon May 27 12:22:36 GMT 2024","129","Authorization","","","","","Cannot login with empty username and password",""
"passed","Mon May 27 12:22:56 GMT 2024","Mon May 27 12:22:56 GMT 2024","123","User registration","","","","","Does not register with a blank password and username",""
"passed","Mon May 27 12:22:22 GMT 2024","Mon May 27 12:22:23 GMT 2024","883","Finalize account","","","","","Does not delete a user that does not exist",""
"passed","Mon May 27 12:22:33 GMT 2024","Mon May 27 12:22:33 GMT 2024","559","Authorization","","","","","Log in successfully",""
"passed","Mon May 27 12:22:35 GMT 2024","Mon May 27 12:22:35 GMT 2024","125","Authorization","","","","","Cannot login with empty username",""
"passed","Mon May 27 12:22:34 GMT 2024","Mon May 27 12:22:35 GMT 2024","504","Authorization","","","","","Cannot login with invalid password",""
"passed","Mon May 27 12:22:33 GMT 2024","Mon May 27 12:22:34 GMT 2024","731","Authorization","","","","","Cannot login with invalid username",""
"passed","Mon May 27 12:22:46 GMT 2024","Mon May 27 12:22:46 GMT 2024","184","Manage books","","","","","Don't add a book that doesn't exist",""
"passed","Mon May 27 12:22:56 GMT 2024","Mon May 27 12:22:56 GMT 2024","315","User registration","","","","","Does not create an account with the same data as an existing account",""
"passed","Mon May 27 12:22:55 GMT 2024","Mon May 27 12:22:55 GMT 2024","132","User registration","","","","","Do not register a user with a password that does not contain special characters",""
"passed","Mon May 27 12:22:21 GMT 2024","Mon May 27 12:22:22 GMT 2024","1189","Finalize account","","","","","Do not delete a user without authorization",""
