"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 19:07:02 GMT 2024","Wed Apr 03 19:07:03 GMT 2024","237","Manage books","When authenticated","","","","Didn't add a book to the favorites list with an incorrect user ID.",""
"failed","Wed Apr 03 19:06:52 GMT 2024","Wed Apr 03 19:06:52 GMT 2024","145","Authorization","","","","","Cannot login with empty password",""
"failed","Wed Apr 03 19:06:43 GMT 2024","Wed Apr 03 19:06:44 GMT 2024","338","Finalize account","","","","","Does not delete a user that does not exist",""
"failed","Wed Apr 03 19:06:51 GMT 2024","Wed Apr 03 19:06:51 GMT 2024","134","Authorization","","","","","Cannot login with invalid username",""
"failed","Wed Apr 03 19:06:52 GMT 2024","Wed Apr 03 19:06:52 GMT 2024","151","Authorization","","","","","Cannot login with empty username and password",""
"passed","Wed Apr 03 19:07:02 GMT 2024","Wed Apr 03 19:07:02 GMT 2024","296","Manage books","When authenticated","","","","Do not add a book to the favorites list without authorization",""
"passed","Wed Apr 03 19:06:41 GMT 2024","Wed Apr 03 19:06:43 GMT 2024","1473","Finalize account","","","","","Deletes a user",""
"failed","Wed Apr 03 19:06:51 GMT 2024","Wed Apr 03 19:06:51 GMT 2024","127","Authorization","","","","","Cannot login with invalid password",""
"passed","Wed Apr 03 19:07:01 GMT 2024","Wed Apr 03 19:07:02 GMT 2024","786","Manage books","When authenticated","","","","Add and remove a book from the favorites list",""
"passed","Wed Apr 03 19:07:00 GMT 2024","Wed Apr 03 19:07:00 GMT 2024","855","Manage books","","","","","Check information of a book",""
"failed","Wed Apr 03 19:06:52 GMT 2024","Wed Apr 03 19:06:52 GMT 2024","139","Authorization","","","","","Cannot login with empty username",""
"failed","Wed Apr 03 19:06:51 GMT 2024","Wed Apr 03 19:06:51 GMT 2024","148","Authorization","","","","","Log in successfully",""
"failed","Wed Apr 03 19:06:51 GMT 2024","Wed Apr 03 19:06:52 GMT 2024","135","Authorization","","","","","Cannot login with invalid username and password",""
"passed","Wed Apr 03 19:07:02 GMT 2024","Wed Apr 03 19:07:02 GMT 2024","291","Manage books","When authenticated","","","","Don't add a book that doesn't exist",""
"failed","Wed Apr 03 19:06:43 GMT 2024","Wed Apr 03 19:06:43 GMT 2024","332","Finalize account","","","","","Do not delete a user without authorization",""
